,real time,evaluation,move
white,0.0,0.38,e2e4
black,0.0,0.57,c7c6
white,2.7,0.3,d2d4
black,5.3,0.43,d7d5
white,7.3,0.45,e4e5
black,9.9,0.44,c8f5
white,12.3,0.26,c2c4
black,19.5,0.37,e7e6
white,40.7,0.22,g1f3
black,52.3,1.73,c6c5
white,76.7,0.66,d1b3
black,88.3,1.29,d8d7
white,92.8,0.58,c4d5
black,97.1,1.69,d7d5
white,107.6,0.54,b1c3
black,110.3,0.61,d5b3
white,113.2,0.72,a2b3
black,114.5,1.21,c5d4
white,117.7,1.2,f3d4
black,126.2,2.14,f5g6
white,129.6,1.51,g2g3
black,131.9,2.18,f8b4
white,133.9,1.52,f1g2
black,172.6,2.05,b8d7
white,183.3,1.97,g2b7
black,193.4,2.19,a8b8
white,196.1,1.73,b7c6
black,208.6,2.35,g8e7
white,211.0,2.31,c6d7
black,214.0,2.38,e8d7
white,224.8,0.62,e1g1
black,253.2,1.28,b8b7
white,280.6,0.92,f1d1
black,321.1,1.19,e7d5
white,354.6,1.31,c3d5
black,356.3,1.17,e6d5
white,391.0,1.09,d4f3
black,395.8,1.4,g6e4
white,413.2,2.08,f3g5
black,421.0,1.63,d7e7
white,431.7,1.48,g5e4
black,431.8,1.47,d5e4
white,434.5,1.12,c1g5
black,443.4,1.56,e7e6
white,469.0,0.09,a1a4
black,512.7,0.45,e6e5
white,530.1,-0.58,f2f4
black,541.2,-0.14,e5e6
white,579.7,-0.16,a4a6
black,626.7,-0.03,b7b6
white,630.6,-2.04,a6b6
black,635.6,-2.05,a7b6
white,640.9,-9.72,d1d4
black,647.7,-9.25,b4c5
white,695.5,-7.9,f4f5
black,700.9,-8.05,e6f5
white,701.4,-8.08,g5e3
black,706.3,-7.84,c5d4
white,707.2,-7.66,e3d4
black,713.1,-7.52,b6b5
white,717.0,-8.0,d4g7
black,731.7,-7.58,h8d8
white,739.9,-8.74,g7c3
black,745.0,-8.92,e4e3
white,772.2,-8.94,g1f1
black,775.0,-8.83,f5e4
white,780.1,-9.08,f1e2
black,799.6,-9.0,d8b8
white,810.8,-9.34,c3b4
black,815.8,-9.38,b8c8
white,829.5,-9.81,b4c3
black,834.0,-9.89,f7f5
white,854.0,-9.25,b3b4
black,862.5,-8.96,f5f4
white,868.4,-9.21,g3f4
black,868.5,-9.48,e4f4
white,893.2,-9.96,h2h3
black,897.4,-9.01,c8g8
white,913.5,#-8,e2f1
black,917.9,#-7,f4f3
white,931.4,#-7,c3d4
black,936.3,-14.87,e3e2
white,937.2,-19.75,f1e1
black,942.3,#-11,g8d8
white,993.4,-14.77,e1d2
black,996.8,-15.36,d8d4
white,998.8,#-13,d2c3
black,1003.9,-17.14,d4h4
white,1005.8,-17.5,b2b3
black,1007.6,#-3,e2e1q
white,1009.0,#-3,c3b2
black,1014.3,#-3,h4b4
white,1026.6,#-3,b2a3
black,1047.4,#-2,e1c3
white,1051.1,#-2,a3a2
black,1054.1,#-1,c3b3
white,1055.6,#-1,a2a1
black,1056.8,#-0,b4a4
